읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김부겸,국민의힘 추경호,개혁신당 이수찬,계,무효 투표수,기권자수
합계,,78489,68794,38676,28836,735,68247,547,9695
관외사전투표,,9296,9289,5404,3638,158,9200,89,7
성당동,계,1675,1674,867,776,19,1662,12,1
성당동,관내사전투표,1675,1674,867,776,19,1662,12,1
두류1·2동,계,1567,1566,836,680,22,1538,28,1
두류1·2동,관내사전투표,1567,1566,836,680,22,1538,28,1
두류3동,계,1353,1351,762,569,7,1338,13,2
두류3동,관내사전투표,1353,1351,762,569,7,1338,13,2
본리동,계,2717,2715,1811,871,22,2704,11,2
본리동,관내사전투표,2717,2715,1811,871,22,2704,11,2
감삼동,계,1552,1552,896,630,13,1539,13,0
감삼동,관내사전투표,1552,1552,896,630,13,1539,13,0
죽전동,계,1449,1448,863,562,12,1437,11,1
죽전동,관내사전투표,1449,1448,863,562,12,1437,11,1
장기동,계,11071,6223,2329,3793,56,6178,45,4848
장기동,선거일투표,11071,6223,2329,3793,56,6178,45,4848
용산1동,계,3306,3299,1980,1266,28,3274,25,7
용산1동,관내사전투표,3306,3299,1980,1266,28,3274,25,7
용산2동,계,2224,2222,1378,805,26,2209,13,2
용산2동,관내사전투표,2224,2222,1378,805,26,2209,13,2
이곡1동,계,1837,1834,1098,697,31,1826,8,3
이곡1동,관내사전투표,1837,1834,1098,697,31,1826,8,3
이곡2동,계,2568,2567,1399,1125,29,2553,14,1
이곡2동,관내사전투표,2568,2567,1399,1125,29,2553,14,1
신당동,계,1242,1239,691,519,20,1230,9,3
신당동,관내사전투표,1242,1239,691,519,20,1230,9,3
월성1동,계,3667,3664,2675,942,36,3653,11,3
월성1동,관내사전투표,3667,3664,2675,942,36,3653,11,3
월성2동,계,2119,2119,1202,869,21,2092,27,0
월성2동,관내사전투표,2119,2119,1202,869,21,2092,27,0
진천동,계,4096,4096,2461,1547,53,4061,35,0
진천동,관내사전투표,4096,4096,2461,1547,53,4061,35,0
유천동,계,3326,3322,2521,769,22,3312,10,4
유천동,관내사전투표,3326,3322,2521,769,22,3312,10,4
상인1동,계,2486,2486,1625,833,18,2476,10,0
상인1동,관내사전투표,2486,2486,1625,833,18,2476,10,0
상인2동,계,1809,1809,1014,764,14,1792,17,0
상인2동,관내사전투표,1809,1809,1014,764,14,1792,17,0
상인3동,계,1504,1504,705,758,15,1478,26,0
상인3동,관내사전투표,1504,1504,705,758,15,1478,26,0
도원동,계,3588,3586,2188,1333,36,3557,29,2
도원동,관내사전투표,3588,3586,2188,1333,36,3557,29,2
송현1동,계,1623,1623,839,756,11,1606,17,0
송현1동,관내사전투표,1623,1623,839,756,11,1606,17,0
송현2동,계,1431,1431,772,631,15,1418,13,0
송현2동,관내사전투표,1431,1431,772,631,15,1418,13,0
본동,계,10983,6175,2360,3703,51,6114,61,4808
본동,관내사전투표,900,900,516,370,7,893,7,0
본동,선거일투표,10083,5275,1844,3333,44,5221,54,4808
